codigo_postal,tipo,nombre
46117,supermercado,Eroski City
03550,supermercado,Consum
36950,supermercado,Carrefour Market
12500,supermercado,Mercadona
46007,supermercado,Consum
03360,supermercado,Mercadona
03360,supermercado,Consum
30300,supermercado,Consum
30310,supermercado,Consum
46920,supermercado,Mercadona
30850,supermercado,Mercadona
30850,supermercado,Consum
12600,supermercado,Consum
15008,supermercado,Mercadona
46470,supermercado,Consum
46930,supermercado,Mercadona
12593,supermercado,Consum
46013,supermercado,Carrefour Express
46019,supermercado,MERCADONA
36214,supermercado,Alcampo
15147,supermercado,Carrefour
15200,supermercado,Eroski
46400,supermercado,Mercadona
32350,supermercado,Eroski
32317,supermercado,Gadis
46600,supermercado,Carrefour
03320,supermercado,Consum
15008,supermercado,Eroski
46100,supermercado,Mercadona
46970,supermercado,Mercadona
15172,supermercado,Alcampo
15009,supermercado,Gadis
15008,supermercado,Gadis
46117,supermercado,Consum
03177,supermercado,Consum
15142,supermercado,Gadis
15142,supermercado,Eroski
15173,supermercado,Mercadona
43204,supermercado,Carrefour
43007,supermercado,Mercadona
15160,supermercado,Gadis
30570,supermercado,Mercadona
46970,supermercado,Mercadona
15320,supermercado,Eroski
03780,supermercado,Mercadona
46210,supermercado,Consum
12598,supermercado,Mercadona
15707,supermercado,Mercadona
46210,supermercado,Mercadona
15171,supermercado,Carrefour
12580,supermercado,Mercadona
15330,supermercado,Gadis
46183,supermercado,Mercadona
15670,supermercado,Eroski
46980,supermercado,Mercadona
15300,supermercado,Eroski
43700,supermercado,Mercadona
43820,supermercado,Mercadona
15100,supermercado,Alcampo
46184,supermercado,Consum
15189,supermercado,Mercadona
46970,supermercado,Mercadona
03581,supermercado,Consum
46520,supermercado,Consum
03580,supermercado,Mercadona
15179,supermercado,Mercadona
30180,supermercado,Consum
15270,supermercado,Mercadona
15270,supermercado,Eroski
15270,supermercado,Gadis
30700,supermercado,Consum
30320,supermercado,Consum
30420,supermercado,Consum
43740,supermercado,Mercadona
46200,supermercado,Consum
03710,supermercado,Consum
12530,supermercado,Mercadona
12530,supermercado,Consum
46440,supermercado,Consum
46300,supermercado,Mercadona
46026,supermercado,Mercadona
36143,supermercado,Carrefour
46740,supermercado,Consum
30007,supermercado,Mercadona
46190,supermercado,Consum
03158,supermercado,Consum
15185,supermercado,Eroski City
15121,supermercado,Eroski
43800,supermercado,Carrefour Market
46017,supermercado,Mercadona
46190,supermercado,Consum
46930,supermercado,Consum
15171,supermercado,Gadis
46190,supermercado,Mercadona
46520,supermercado,Mercadona
12550,supermercado,Mercadona
15100,supermercado,Mercadona
15129,supermercado,Eroski
15220,supermercado,Gadis
46450,supermercado,Mercadona
46200,supermercado,Consum
46470,supermercado,Mercadona
36600,supermercado,Mercadona
46910,supermercado,Mercadona
46470,supermercado,Mercadona
36860,supermercado,Mercadona
36969,supermercado,Gadis
36900,supermercado,Mercadona
03502,supermercado,Mercadona
03204,supermercado,Mercadona
46120,supermercado,Consum
46760,supermercado,Consum
46760,supermercado,Mercadona
36213,supermercado,Eroski
46117,supermercado,Consum
46900,colegio,Institut d'Educació Secundària Marxadella
03690,colegio,Grupo ESOC - Prevención Riesgos Laborales
30399,colegio,Colegio de Educación Infantil y Primaria Cartago
15008,colegio,Instituto de Educación Secundaria Elviña
15008,colegio,Colexio de Educación Infantil e Primaria Alborada
03007,colegio,Autoescuela Tosal
43004,colegio,Escola Pau Delclòs
12006,colegio,Escuela de Oficios de Castellón
46701,colegio,Reial Col·legi de l'Escola Pia
03610,colegio,Centre Públic de Formació de Persones Adultes Carles Salvador
03160,colegio,Academia Harvard
03160,colegio,Centro de Estudios Almoradí
36770,colegio,Centro Rural Agrupado María Zambrano - Pías
46220,colegio,Col·legi Internacional Ausiàs March
30009,colegio,Colegio de Educación Infantil y Primaria Puente de Doñana
30509,colegio,Colegio Los Olivos
12110,colegio,Centre Públic de Formació de Persones Adultes Tirant lo Blanc - Josep Miralles
12004,colegio,International English School of Castellón
03004,colegio,Centro Municipal de Formación de Personas Adultas FPA
30390,colegio,Colegio de Educación Infantil y Primaria Miguel De Cervantes
36202,colegio,Kame Academia de Cómic
36206,colegio,Colexio San Fermín
36206,colegio,Colexio Quiñones de León
46388,colegio,"Colegio Publico ""Enrrique Tierno Galvan"""
30163,colegio,Instituto Montepinar
46026,colegio,"Centre Privat d'Educació Infantil, Primària i Secundària Martí Sorolla"
36940,colegio,Centro de estudos Cangas
46003,colegio,Escolania Nuestra Señora de los Desamparados
36207,colegio,Escuela Infantil
46009,colegio,Colegio Diocesano San Juan Bosco
46010,colegio,Colegio Aula 3
15703,colegio,Colexio Privado Plurilingüe Juventud
03439,colegio,Granja Escuela ALTALLUNA
27002,colegio,Colexio de Educación Infantil e Primaria Anexa
03108,colegio,Col·legi d'Educació Infantil i Primària la Torre de les Maçanes
32800,colegio,Instituto de Educación Secundaria Celanova Celso Emilio Ferreiro
15706,colegio,CESOGA
36205,colegio,FutbolXogo
30440,colegio,EuroProyectos Formativos
03550,colegio,Escuela Infantil Neptú
36318,colegio,Centro De Educación Especial Saladino Cortizo
43811,colegio,Escola Mare de Déu de l'Esperança - ZER La Parellada
46392,colegio,Colegio Público Vicente Aleixandre
15155,colegio,A Galiña Azul
32003,colegio,Academia arrobaPi
03005,colegio,Alinur - Centro de Educación Especial para personas con Discapacidad Intelectual
03185,colegio,Academia Miralles
03193,colegio,Montessori San Miguel
03698,colegio,Centre Municipal de Formació de Persones Adultes d'Agost
46140,colegio,Centro de Formación para Personas Adultas Jaime I
03182,colegio,Centro de Estudios Königin
12160,colegio,Institut d'Educació Secundària Pere Enric Barreda i Edo
03690,colegio,Mètric autoescuela
30430,colegio,Centro de Educación Infantil y Primaria Ciudad de Begastri
30430,colegio,Instituto de Educación Secundaria Alquipir
