codigo_postal,provincia,municipio_nombre,poblacion_actual,poblacion_hace_5a,crecimiento_%,supera_20k,crecimiento_positivo,precio_m2,variacion_anual_%,variacion_maximo_%,en_maximo_historico,precio_anual_positivo,fuente_precio,tiene_supermercado,tiene_colegio,tiene_instituto,tiene_universidad,tiene_centro_salud,tiene_todos_servicios,tiene_mercadona
30880,Murcia,Águilas,18905.5,17861.0,5.85,False,True,1251.243339,19.88,-40.55,False,True,notariado,True,False,False,False,True,False,True
03140,Alicante/Alacant,Guardamar del Segura,18564.0,15849.0,17.13,False,True,2245.145808,,,False,False,notariado,False,True,True,False,True,False,True
46520,Valencia/València,Sagunt/Sagunto,18257.75,16793.25,8.72,False,True,1420.285811,18.91,-4.77,False,True,notariado,True,True,True,False,True,False,True
46500,Valencia/València,Sagunt/Sagunto,18257.75,16793.25,8.72,False,True,1248.106453,18.91,-4.77,False,True,notariado,False,True,False,False,True,False,True
43830,Tarragona,Torredembarra,18237.0,16567.0,10.08,False,True,2240.61237,,,False,False,notariado,False,True,True,False,False,False,True
30510,Murcia,Yecla,18226.5,17417.0,4.65,False,True,692.027643,13.71,-37.55,False,True,notariado,True,True,False,False,True,False,True
46370,Valencia/València,Chiva,17951.0,15414.0,16.46,False,True,985.616117,,,False,False,notariado,False,False,False,False,False,False,True
46760,Valencia/València,Tavernes de la Valldigna,17866.0,17254.0,3.55,False,True,991.96465,,,False,False,notariado,True,True,True,False,True,False,True
03170,Alicante/Alacant,Rojales,17652.0,16671.0,5.88,False,True,2334.826147,,,False,False,notariado,False,True,True,False,True,False,True
46130,Valencia/València,Massamagrell,17566.0,16163.0,8.68,False,True,1375.601466,,,False,False,notariado,False,True,True,False,True,False,True
46240,Valencia/València,Carlet,16857.0,15740.0,7.1,False,True,640.351191,,,False,False,notariado,False,True,True,False,True,False,True
03190,Alicante/Alacant,"Orihuela, Pilar de la Horadada",16855.777777777777,15534.888888888889,8.5,False,True,2128.101906,28.59,0.0,True,True,notariado,False,True,True,False,True,False,True
43881,Tarragona,Cunit,16385.0,13533.0,21.07,False,True,1900.905527,,,False,False,notariado,False,False,False,False,True,False,True
43882,Tarragona,Calafell,16312.0,13800.5,18.2,False,True,1862.599745,,,False,False,notariado,False,False,False,False,False,False,True
43820,Tarragona,Calafell,16312.0,13800.5,18.2,False,True,2244.206182,,,False,False,notariado,True,True,True,False,False,False,True
43540,Tarragona,"Ràpita, La",16119.0,14953.0,7.8,False,True,1162.940849,,,False,False,notariado,False,False,False,False,True,False,True
46600,Valencia/València,Alzira,16078.666666666666,14979.333333333334,7.34,False,True,940.795373,19.87,-24.04,False,True,notariado,True,True,True,True,True,True,True
46268,Valencia/València,Alzira,16078.666666666666,14979.333333333334,7.34,False,True,1224.0,19.87,-24.04,False,True,mivau,False,False,False,False,False,False,False
46950,Valencia/València,Xirivella,16046.5,15098.5,6.28,False,True,1503.361645,30.44,0.0,True,True,notariado,True,True,False,False,True,False,True
43204,Tarragona,Reus,15943.0,15166.857142857143,5.12,False,True,1446.74991,11.88,-17.69,False,True,notariado,True,True,True,False,True,False,True
43207,Tarragona,Reus,15943.0,15166.857142857143,5.12,False,True,1640.9,11.88,-17.69,False,True,mivau,False,False,False,False,False,False,False
43205,Tarragona,Reus,15943.0,15166.857142857143,5.12,False,True,1395.648762,11.88,-17.69,False,True,notariado,True,True,True,False,False,False,True
43201,Tarragona,Reus,15943.0,15166.857142857143,5.12,False,True,1361.545251,11.88,-17.69,False,True,notariado,False,True,True,False,False,False,True
