codigo_postal,provincia,municipio_nombre,poblacion_actual,poblacion_hace_5a,crecimiento_%,supera_20k,crecimiento_positivo,precio_m2,variacion_anual_%,variacion_maximo_%,en_maximo_historico,precio_anual_positivo
46940,Valencia/València,Manises,32609.0,31240.0,4.38,True,True,,,,False,False
12600,Castellón/Castelló,"Vall d'Uixó, la",32242.0,31681.0,1.77,True,True,,,,False,False
43840,Tarragona,Salou,31491.0,28526.0,10.39,True,True,,,,False,False
03560,Alicante/Alacant,"Campello, el",31419.0,28930.0,8.6,True,True,,,,False,False
46800,Valencia/València,Xàtiva,31008.0,29623.0,4.68,True,True,,,,False,False
46250,Valencia/València,"Alcúdia, l', Sagunt/Sagunto",30844.75,28900.25,6.73,True,True,,,,False,False
12500,Castellón/Castelló,Vinaròs,30529.0,28833.0,5.88,True,True,,,,False,False
46909,Valencia/València,Torrent,30309.333333333332,27987.333333333332,8.3,True,True,,,,False,False
46901,Valencia/València,Torrent,30309.333333333332,27987.333333333332,8.3,True,True,,,,False,False
46900,Valencia/València,Torrent,30309.333333333332,27987.333333333332,8.3,True,True,,,,False,False
46970,Valencia/València,Alaquàs,30166.0,29711.0,1.53,True,True,,,,False,False
30740,Murcia,San Pedro del Pinatar,29674.0,25932.0,14.43,True,True,,,,False,False
12550,Castellón/Castelló,Almassora,29159.0,26742.0,9.04,True,True,,,,False,False
30010,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30011,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30837,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30100,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30012,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30008,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30107,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30108,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30009,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30589,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30007,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30006,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30005,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30120,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30004,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30003,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30002,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30168,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30169,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30001,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30179,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30331,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30110,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30150,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30139,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30588,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30590,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30580,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30164,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30579,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30163,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30162,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30165,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30161,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30830,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30160,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30158,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30831,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30157,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30156,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30832,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30155,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30154,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30153,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30833,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30166,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30167,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30152,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30836,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30570,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
30151,Murcia,Murcia,28893.418181818182,27477.29090909091,5.15,True,True,,,,False,False
03110,Alicante/Alacant,Mutxamel,28621.0,25645.0,11.6,True,True,,,,False,False
46117,Valencia/València,Bétera,28560.0,24604.0,16.08,True,True,,,,False,False
46680,Valencia/València,Algemesí,28306.0,27430.0,3.19,True,True,,,,False,False
46200,Valencia/València,Paiporta,28136.0,26514.0,6.12,True,True,,,,False,False
03710,Alicante/Alacant,Calp,27616.0,23326.0,18.39,True,True,,,,False,False
46185,Valencia/València,"Pobla de Vallbona, la",27471.0,24858.0,10.51,True,True,,,,False,False
46930,Valencia/València,Quart de Poblet,26967.0,25062.0,7.6,True,True,,,,False,False
46780,Valencia/València,Oliva,26813.0,25224.0,6.3,True,True,,,,False,False
03660,Alicante/Alacant,Novelda,26606.0,25741.0,3.36,True,True,,,,False,False
30710,Murcia,"Alcázares, Los, Torre-Pacheco",26333.571428571428,21799.142857142855,20.8,True,True,,,,False,False
46120,Valencia/València,Alboraia/Alboraya,26273.0,24741.0,6.19,True,True,,,,False,False
03502,Alicante/Alacant,Benidorm,25775.666666666668,23483.333333333332,9.76,True,True,,,,False,False
03503,Alicante/Alacant,Benidorm,25775.666666666668,23483.333333333332,9.76,True,True,,,,False,False
03501,Alicante/Alacant,Benidorm,25775.666666666668,23483.333333333332,9.76,True,True,,,,False,False
12100,Castellón/Castelló,"Alcora, l', Castelló de la Plana/Castellón de la Plana",25629.875,24387.25,5.1,True,True,,,,False,False
46160,Valencia/València,Llíria,25333.0,23482.0,7.88,True,True,,,,False,False
30889,Murcia,"Lorca, Águilas",25091.0625,23830.6875,5.29,True,True,,,,False,False
46190,Valencia/València,Riba-roja de Túria,24616.0,22761.0,8.15,True,True,,,,False,False
03440,Alicante/Alacant,Ibi,24500.0,23564.0,3.97,True,True,,,,False,False
43206,Tarragona,"Reus, Vila-seca",23915.333333333332,22685.190476190477,5.42,True,True,,,,False,False
46792,Valencia/València,"Alzira, Carcaixent",23390.0,21791.333333333336,7.34,True,True,,,,False,False
12003,Castellón/Castelló,Castelló de la Plana/Castellón de la Plana,22963.875,21783.0,5.42,True,True,,,,False,False
12005,Castellón/Castelló,Castelló de la Plana/Castellón de la Plana,22963.875,21783.0,5.42,True,True,,,,False,False
12004,Castellón/Castelló,Castelló de la Plana/Castellón de la Plana,22963.875,21783.0,5.42,True,True,,,,False,False
12006,Castellón/Castelló,Castelló de la Plana/Castellón de la Plana,22963.875,21783.0,5.42,True,True,,,,False,False
12002,Castellón/Castelló,Castelló de la Plana/Castellón de la Plana,22963.875,21783.0,5.42,True,True,,,,False,False
12001,Castellón/Castelló,Castelló de la Plana/Castellón de la Plana,22963.875,21783.0,5.42,True,True,,,,False,False
30565,Murcia,"Torres de Cotillas, Las",22676.0,21753.0,4.24,True,True,,,,False,False
03680,Alicante/Alacant,Aspe,22397.0,20804.0,7.66,True,True,,,,False,False
32005,Ourense,"Barbadás, Ourense, San Cibrao das Viñas",22115.345833333333,22104.291666666668,0.05,True,True,,,,False,False
46702,Valencia/València,Gandia,20783.75,18949.5,9.68,True,True,,,,False,False
46701,Valencia/València,Gandia,20783.75,18949.5,9.68,True,True,,,,False,False
46730,Valencia/València,Gandia,20783.75,18949.5,9.68,True,True,,,,False,False
46728,Valencia/València,Gandia,20783.75,18949.5,9.68,True,True,,,,False,False
43880,Tarragona,"Vendrell, El",20566.5,19186.5,7.19,True,True,,,,False,False
43700,Tarragona,"Vendrell, El",20566.5,19186.5,7.19,True,True,,,,False,False
46460,Valencia/València,Silla,20482.0,19078.0,7.36,True,True,,,,False,False
03657,Alicante/Alacant,"Pinós, el/Pinoso, Yecla",20357.25,19423.25,4.81,True,True,,,,False,False
32900,Ourense,"Ourense, San Cibrao das Viñas",20248.5125,20244.625,0.02,True,True,,,,False,False
