codigo_postal,tipo,nombre
43516,centro_salud,GODALL
43878,centro_salud,MASDENVERGE
43530,centro_salud,ALCANAR
43540,centro_salud,SANT CARLES DE LA RÀPITA
43530,centro_salud,LES CASES D'ALCANAR
43549,centro_salud,EL POBLE NOU DEL DELTA
43560,centro_salud,LA SÉNIA
43550,centro_salud,ULLDECONA
43550,centro_salud,EL CASTELL
43559,centro_salud,SANT JOAN DEL PAS
43550,centro_salud,ELS VALENTINS
43550,centro_salud,LES VENTALLES
03010,centro_salud,ALACANT / ALICANTE - CAMPOAMOR
03007,centro_salud,ALACANT / ALICANTE - BABEL
03008,centro_salud,ALACANT / ALICANTE - SAN GABRIEL
03008,centro_salud,ALACANT / ALICANTE - URBANOVA (verano)
03008,centro_salud,CIUDAD DE LA LUZ
03007,centro_salud,ALACANT / ALICANTE - BENALÚA
03007,centro_salud,ALACANT / ALICANTE - FLORIDA
03113,centro_salud,ALACANT / ALICANTE - REBOLLEDO
03005,centro_salud,ALACANT / ALICANTE - SAN BLAS
03009,centro_salud,ALACANT / ALICANTE - LOS ÁNGELES
03010,centro_salud,ALACANT / ALICANTE - PARQUE LO MORANT
03011,centro_salud,ALACANT / ALICANTE - CIUDAD JARDÍN
03112,centro_salud,ALACANT / ALICANTE - VILLAFRANQUEZA
03698,centro_salud,AGOST
03670,centro_salud,MONFORTE DEL CID
03690,centro_salud,SAN VICENTE DEL RASPEIG II
03690,centro_salud,SAN VICENTE DEL RASPEIG I
03699,centro_salud,ALACANT / ALICANTE - LA CAÑADA
03690,centro_salud,SAN VICENTE DEL RASPEIG - COLEGIO SANTA ISABEL
03801,centro_salud,ALCOI / ALCOY - PLAÇA DE DINS
03801,centro_salud,LA ZONA ALTA DE ALCOI / ALCOY
03802,centro_salud,ALCOI / ALCOY - BATOY
03802,centro_salud,ALCOI / ALCOY - LA FÁBRICA
03804,centro_salud,ALCOI / ALCOY - LA BASSA
03450,centro_salud,BANYERES DE MARIOLA
03810,centro_salud,BENILLOBA
03814,centro_salud,ALCOLEJA
03812,centro_salud,BALONES
03814,centro_salud,BENASAU
03816,centro_salud,BENIFALLIM
03812,centro_salud,BENIMASSOT
03813,centro_salud,FACHECA
03813,centro_salud,FAMORCA
03811,centro_salud,GORGA
03812,centro_salud,MILLENA
03815,centro_salud,PENÀGUILA
03811,centro_salud,QUATRETONDETA
03813,centro_salud,TOLLOS
03420,centro_salud,CASTALLA
03820,centro_salud,COCENTAINA
03440,centro_salud,IBI
03440,centro_salud,C.S.I. DE IBI II
03830,centro_salud,MURO DE ALCOY
03837,centro_salud,AGRES
03841,centro_salud,ALCOCER DE PLANES
03838,centro_salud,ALFAFARA
03827,centro_salud,ALMUDAINA
03829,centro_salud,L'ALQUERIA D'ASNAR
03850,centro_salud,BENIARRÉS
03827,centro_salud,BENILLUP
03827,centro_salud,BENIMARFULL
03840,centro_salud,GAIANES
03860,centro_salud,LORCHA/ORXA (L')
03828,centro_salud,PLANES  - BENIALFAQUÍ
03828,centro_salud,PLANES - CATAMARRUCH
03828,centro_salud,PLANES - MARGARIDA
03828,centro_salud,PLANES
03788,centro_salud,LA VALL D'ALCALA - BENIAYA
03788,centro_salud,LA VALL D'ALCALÀ
03430,centro_salud,ONIL
03001,centro_salud,ALACANT / ALICANTE C/ GERONA
03002,centro_salud,ALACANT / ALICANTE - SANTA FAZ
03013,centro_salud,ALACANT / ALICANTE - HOSPITAL PROVINCIAL - PLÁ
03015,centro_salud,ALACANT / ALICANTE - GARBINET
03015,centro_salud,ALACANT / ALICANTE - JUAN XXIII
03540,centro_salud,ALACANT / ALICANTE - CABO HUERTAS
03540,centro_salud,ALACANT / ALICANTE - PLAYA DE SANT JOAN D'ALACANT
03016,centro_salud,ALACANT / ALICANTE - ALBUFERETA
03016,centro_salud,ALACANT / ALICANTE - VISTAHERMOSA
03569,centro_salud,AIGÜES
03560,centro_salud,C.S.I. EL CAMPELLO
03560,centro_salud,EL CAMPELLO - PLAYA DE MUCHAVISTA
03560,centro_salud,ELS POBLETS COVETA FUMA
03100,centro_salud,JIJONA/XIXONA
03109,centro_salud,TIBI
03108,centro_salud,LA TORRE DE LES MAÇANES / TORREMANZANAS
03110,centro_salud,MUTXAMEL
03111,centro_salud,BUSOT
03110,centro_salud,MUTXAMEL - LA HUERTA
03550,centro_salud,SANT JOAN D´ALACANT
03410,centro_salud,BIAR
03460,centro_salud,BENEJAMA
03469,centro_salud,EL CAMP DE MIRRA / CAMPO DE MIRRA
03409,centro_salud,CAÑADA
03600,centro_salud,ELDA - MARINA ESPAÑOLA
03600,centro_salud,ELDA - AVDA. SAX
03600,centro_salud,ELDA - ACACIAS
03600,centro_salud,VIRGEN DE LA CABEZA
03640,centro_salud,MONÓVAR/MONÒVER
03640,centro_salud,MONÒVER / MONÓVAR - CASES DEL SENYOR
03660,centro_salud,C.S.I. NOVELDA
03669,centro_salud,LA ROMANA - L'ALGAYAT
03669,centro_salud,LA ROMANA
03610,centro_salud,PETRER I
03610,centro_salud,PETRER II
03650,centro_salud,PINÓS (EL)/PINOSO
03668,centro_salud,ALGUEÑA
03630,centro_salud,SAX
03638,centro_salud,SALINAS
03400,centro_salud,VILLENA II
03400,centro_salud,VILLENA I
03408,centro_salud,VILLENA - LA ENCINA
03680,centro_salud,ASPE
03688,centro_salud,HONDÓN DE LAS NIEVES - LA CANALOSA
03688,centro_salud,HONDÓN DE LAS NIEVES
03689,centro_salud,HONDÓN DE LOS FRAILES
03689,centro_salud,ORIHUELA - BARBARROJA
03330,centro_salud,C.S.I. CREVILLENT
03339,centro_salud,CREVILLENT - EL REALENGO
03158,centro_salud,CREVILLENT - SAN FELIPE NERI
03205,centro_salud,ELX / ELCHE -  EL TOSCAR
03206,centro_salud,ELX / ELCHE - CARRÚS
03201,centro_salud,ELX / ELCHE - DOCTOR SAPENA
03201,centro_salud,ELX / ELCHE - DOCTOR ALBERTO GARCÍA
03293,centro_salud,EL PLÁ - VINALOPO
03203,centro_salud,ELX / ELCHE - EL RAVAL
03292,centro_salud,ELX / ELCHE LES BAIES
03202,centro_salud,ELX / ELCHE - ALTABIX
03204,centro_salud,ELX / ELCHE PLÀ
03294,centro_salud,ELX / ELCHE - LA FOIA
03194,centro_salud,ELX / ELCHE - MARINA
03201,centro_salud,ELX / ELCHE - SAN FERMÍN
03195,centro_salud,ELX / ELCHE - L'ALTET
03195,centro_salud,ELX / ELCHE - LOS ARENALES
03320,centro_salud,ELX / ELCHE - TORRELLANO
03139,centro_salud,ELX / ELCHE - VALVERDE
03295,centro_salud,ELX / ELCHE - PERLETA MAITINO
03130,centro_salud,C.S.I. SANTA POLA
03130,centro_salud,SANTA POLA - CASA DEL MAR (verano)
03130,centro_salud,SANTA POLA - GRAN ALACANT
03130,centro_salud,SANTA POLA - ISLA TABARCA
03130,centro_salud,SANTA POLA - PLAYA LISA (verano)
03580,centro_salud,L'ALFÀS DEL PI
03580,centro_salud,L'ALFAS DEL PI - L'ALBIR
03590,centro_salud,ALTEA
03590,centro_salud,ALTEA CASCO ANTIGUO
03590,centro_salud,ALTEA LA VIEJA
03501,centro_salud,BENIDORM - TOMÁS ORTUÑO
03503,centro_salud,BENIDORM - RINCÓN DE LOIX
03502,centro_salud,BENIDORM - LES FOIETES
03502,centro_salud,BENIDORM - LA CALA
03510,centro_salud,CALLOSA D'EN SARRIÀ
03517,centro_salud,BENIARDÁ
03517,centro_salud,BENIFATO
03516,centro_salud,BENIMANTELL
03518,centro_salud,BOLULLA
03517,centro_salud,GUADALEST
03517,centro_salud,CONFRIDES - ABDET
03517,centro_salud,CONFRIDES
03518,centro_salud,TÁRBENA
03530,centro_salud,LA NUCIA
03530,centro_salud,LA NUCIA PILAR DE GARAITA
03520,centro_salud,POLOP
03570,centro_salud,C.S.I. VILA JOIOSA / VILLAJOYOSA - ALMASSERA DE TONDA
03509,centro_salud,FINESTRAT
03509,centro_salud,FINESTRAT - LA CALA
03579,centro_salud,ORXETA
03578,centro_salud,RELLEU
03579,centro_salud,SELLA
03570,centro_salud,CALA DE VILLAJOYOSA
03340,centro_salud,ALBATERA
03349,centro_salud,SAN ISIDRO
03160,centro_salud,ALMORADÍ
03169,centro_salud,ALGORFA
03160,centro_salud,ALMORADÍ - HEREDADES
03159,centro_salud,DAYA NUEVA
03177,centro_salud,DAYA VIEJA
03380,centro_salud,BIGASTRO
03390,centro_salud,BENEJÚZAR
03310,centro_salud,JACARILLA
03360,centro_salud,CALLOSA DE SEGURA
03350,centro_salud,COX
03348,centro_salud,GRANJA DE ROCAMORA
03369,centro_salud,EL MUDAMIENTO
03369,centro_salud,RAFAL
03370,centro_salud,REDOVÁN
03150,centro_salud,DOLORES
03158,centro_salud,CATRAL
03316,centro_salud,ORIHUELA - BENFERRI
03300,centro_salud,ORIHUELA - PLAZA DE LA SALUD
03315,centro_salud,ORIHUELA - LA MURADA
03317,centro_salud,ORIHUELA - EL ESCORRATEL
03311,centro_salud,ORIHUELA - LA APARECIDA
03314,centro_salud,ORIHUELA - LA CAMPANETA
03316,centro_salud,ORIHUELA - LA MATANZA
03300,centro_salud,ORIHUELA - MEDIA LEGUA
03311,centro_salud,ORIHUELA - RINCÓN DE BONANZA
03315,centro_salud,ORIHUELA - VIRGEN DEL CAMINO
03314,centro_salud,ORIHUELA - SAN BARTOLOMÉ
03300,centro_salud,ORIHUELA - ÁLVAREZ DE LA RIVA
03312,centro_salud,ORIHUELA - L'ARNEVA
03312,centro_salud,ORIHUELA - LOS DESAMPARADOS
03313,centro_salud,ORIHUELA - HURCHILLO
03322,centro_salud,ORIHUELA - MOLÍNS
03189,centro_salud,ORIHUELA - CORRENTÍAS BAJAS
03140,centro_salud,C.S.I. GUARDAMAR DEL SEGURA
03140,centro_salud,GUARDAMAR DEL SEGURA - EL CAMPO
03177,centro_salud,LA MARINA - OASIS
03177,centro_salud,SAN FULGENCIO
03170,centro_salud,C.S.I. ROJALES
03170,centro_salud,ROJALES II - LO MARABU
03178,centro_salud,BENIJÓFAR
03179,centro_salud,FORMENTERA DEL SEGURA
03179,centro_salud,FORMENTERA DEL SEGURA - LOS PALACIOS
03185,centro_salud,C.S.I. TORREVIEJA - EL ACEQUIÓN
03181,centro_salud,TORREVIEJA - PATRICIO PÉREZ
03183,centro_salud,C.S.I. TORREVIEJA - LA LOMA
03184,centro_salud,TORREVIEJA - SAN LUIS
03188,centro_salud,TORREVIEJA - LA MATA
03189,centro_salud,ORIHUELA COSTA
03190,centro_salud,C.S.I. PILAR DE LA HORADADA
03191,centro_salud,PILAR DE HORADADA - MIL PALMERAS
03191,centro_salud,PILAR DE LA HORADADA - PINAR DE CAMPOVERDE
03190,centro_salud,PILAR DE LA HORADADA - TORRE DE LA HORADADA
03193,centro_salud,SAN MIGUEL DE SALINAS
03187,centro_salud,LOS MONTESINOS
03313,centro_salud,ORIHUELA - TORREMENDO
12570,centro_salud,ALCALÀ DE XIVERT
12579,centro_salud,ALCOSSEBRE
12579,centro_salud,ALCOSSEBRE - LAS FUENTES (verano)
12597,centro_salud,SANTA MAGDALENA DE PULPIS
12580,centro_salud,C.S.I. BENICARLÓ
12598,centro_salud,PEÑÍSCOLA
12598,centro_salud,PEÑÍSCOLA - PEÑISMAR (verano)
12598,centro_salud,PEÑÍSCOLA - SOROLLA (verano)
12310,centro_salud,FORCALL
12318,centro_salud,CINCTORRES
12312,centro_salud,LA MATA
12311,centro_salud,ORTELLS
12312,centro_salud,OLOCAU DEL REY
12311,centro_salud,PALANQUES
12318,centro_salud,PORTELL DE MORELLA
12312,centro_salud,TODOLELLA
12312,centro_salud,VILLORES
12311,centro_salud,ZORITA DEL MAESTRAZGO
12300,centro_salud,MORELLA
12317,centro_salud,HERBERS
12314,centro_salud,CHIVA DE MORELLA
12315,centro_salud,VALLIBONA
12170,centro_salud,SANT MATEU
12513,centro_salud,CATÍ
12578,centro_salud,CERVERA DEL MAESTRE
12186,centro_salud,LA SALZADELLA
12360,centro_salud,CHERT/XERT
12330,centro_salud,TRAIGUERA
12589,centro_salud,CÀLIG
12350,centro_salud,CANET LO ROIG
12319,centro_salud,CASTELL DE CABRES
12340,centro_salud,LA JANA
12599,centro_salud,BOJAR
12599,centro_salud,BALLESTAR
12599,centro_salud,LA POBLA DE BENIFASSÀ
12599,centro_salud,LA POBLA DE BENIFASSÀ - FREDES
12511,centro_salud,ROSSELL
